No,Gender,Grip_Strength,Height,Shoe_size
1,M,64.4,6,13.5
2,M,48.6,5.1,11
3,M,42.5,5.8,8
4,M,50.2,5.1,9.5
5,M,40.6,6.1,11
6,M,68.7,6,12.5
7,M,60.6,5.7,10.5
8,F,37.7,5.8,11
9,F,39.8,5,6
10,M,67.8,5.7,9
11,M,57.7,5.8,10
12,F,34.9,5.1,7.5
13,M,65.6,5.1,11.5
14,M,62.5,5.1,10.5
15,M,54,5.11,10.5
16,M,62.4,6.1,10.5
17,M,58.2,6.3,13
18,F,41.3,5.7,9.5
19,F,31.1,5.5,6
20,F,41.1,5.2,7.5
21,F,39,5.4,8.5
22,M,46.3,6.2,12
23,M,74.7,6.4,13
24,M,51.7,5.8,11
25,F,44.5,6.1,10
26,F,34.1,5.4,8.5
27,M,45.4,5,11.5
28,M,75.8,6.1,11
29,M,55.5,5.9,10.5
